additional_links,address,agent,baths,beds,commonhold_details,council_tax_band,country_code,currency,date_added,description,ground_rent,link,price,property_id,property_size,property_type,service_charge,tenure,time_remaining_on_lease,type,url,virtual_tour
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW"", ""https://media.rightmove.co.uk/273k/272798/148368179/272798_S956773_DOC_00_0003.pdf""]","Plot 9, Turnstone Drive, Bembridge, Isle of Wight, PO35 5PP","Reduced on 20/11/2024
 by Elliott Lincoln, Covering the Isle of Wight",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 20/11/2024,"A luxurious and sizeable home featuring a contemporary open-plan layout on the ground floor and vaulted ceilings in the bedrooms on the first floor. An energy efficient (EPC Rating A) future proofed property with solar panels, underfloor heating and air source heat pump.",,https://www.rightmove.co.uk/properties/148368179#/?channel=RES_BUY,825000,148368179,2077sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/148368179#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Pump Lane, Bembridge, Isle of Wight, PO35 5NG","Reduced on 28/08/2024
 by Clare Maton homes, Bembridge",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 28/08/2024,"Gull Cottage is a beautifully presented, unique home which is situated in one of the most sought after locations within the village. Access to the beach is just meters away at the end of Ducie Avenue...",,https://www.rightmove.co.uk/properties/128107709#/?channel=RES_BUY,800000,128107709,,for-sale,,Leasehold (40 years),40 years,semi-detached h,https://www.rightmove.co.uk/properties/128107709#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Northclose Road, Bembridge, Isle of Wight, PO35 5XP","Reduced on 25/02/2025
 by Clare Maton homes, Bembridge",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 25/02/2025,"Constructed in 2021, this wonderful modern detached home is beautifully presented throughout, offering fabulous living spaces, spacious bedrooms and good sized sunny gardens. Located within a quiet n...",,https://www.rightmove.co.uk/properties/155124065#/?channel=RES_BUY,800000,155124065,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/155124065#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/273k/272798/156925526/272798_S971328_DOC_00_0001.pdf""]","Longlands Farmhouse, Bembridge, PO35 5PW","Reduced on 15/01/2025
 by Elliott Lincoln, Covering the Isle of Wight",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 15/01/2025,"Longlands Farmhouse, an enchanting Grade II listed stone farmhouse brimming with charm and character with a new home feel. This quintessential chocolate box property, with its attractive thatched roof and beautifully preserved period features, offers a rare opportunity to own a slice of timele...",,https://www.rightmove.co.uk/properties/156925526#/?channel=RES_BUY,795000,156925526,2128sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/156925526#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/155k/154001/148768172/154001_33144400_DOC_00_0000.pdf""]","Bembridge, Isle of Wight","Added on 05/06/2024
 by Spence Willard, Bembridge",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 05/06/2024,A charming family home within very private and substantial gardens with gated driveway in a central and convenient position in Bembridge.,,https://www.rightmove.co.uk/properties/148768172#/?channel=RES_BUY,795000,148768172,1399sq. ft,for-sale,,Leasehold (40 years),40 years,h,https://www.rightmove.co.uk/properties/148768172#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/155k/154001/148363700/154001_33120940_DOC_00_0000.pdf""]","Bembridge, Isle of Wight","Added on 24/05/2024
 by Spence Willard, Bembridge",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 24/05/2024,"A short walk to the beach and secluded within a mature and private garden, this substantial and light family home enjoys a wealth of reception space and character",,https://www.rightmove.co.uk/properties/148363700#/?channel=RES_BUY,775000,148363700,1625sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/148363700#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW"", ""https://media.rightmove.co.uk/155k/154001/154143620/154001_33462760_DOC_00_0000.pdf""]","Bembridge, Isle of Wight","Added on 24/10/2024
 by Spence Willard, Bembridge",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 24/10/2024,"A stunning new home with period character, high energy efficiency and a superb specification and stylish interior. South facing enclosed gardens, off road parking and a detached garage.",,https://www.rightmove.co.uk/properties/154143620#/?channel=RES_BUY,775000,154143620,1615sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/154143620#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Longlands Farm, Sandown Road, Bembridge, Isle of Wight, PO35 5PW","Added on 14/02/2025
 by Clare Maton homes, Bembridge",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 14/02/2025,"Set in the countryside on the outskirts of Bembridge, this former barn has been beautifully converted to provide a stunning home which blends all the requirements of modern day, eco-friendly living wh...",,https://www.rightmove.co.uk/properties/158278403#/?channel=RES_BUY,750000,158278403,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/158278403#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Tyne Walk, Bembridge, Isle of Wight, PO35 5XY","Added on 21/10/2024
 by Clare Maton homes, Bembridge",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 21/10/2024,"Offered for sale chain free, this detached chalet bungalow is set within good sized gardens in a quiet cul-de-sac within Bembridge village. The accommodation is well presented, bright and s...",,https://www.rightmove.co.uk/properties/154005575#/?channel=RES_BUY,730000,154005575,,for-sale,,Leasehold (40 years),40 years,detached bungal,https://www.rightmove.co.uk/properties/154005575#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/239k/238130/156743189/238130_12563640_DOC_01_0000.pdf""]","Egerton Road, Bembridge","Added on 10/01/2025
 by Red Squirrel Property Shop, Newport",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 10/01/2025,"This stunning 4 bedroom bungalow is located in the ever popular village of Bembridge, within walking distance to local shops and beaches. The home comprises living room, study, two good-sized bedrooms, modern-fitted kitchen utility room, conservatory, wet room and bathroom. The first floor consi...",,https://www.rightmove.co.uk/properties/156743189#/?channel=RES_BUY,715000,156743189,,for-sale,,Leasehold (30 years),30 years,detached bungal,https://www.rightmove.co.uk/properties/156743189#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Beach House Lane, Bembridge, Isle of Wight, PO35 5TA","Added on 10/02/2025
 by Clare Maton homes, Bembridge",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 10/02/2025,"Situated in a fabulous location just moments from the beach at Lane End, Seawood Cottage is a truly unique and individual home which is offered for sale chain free. Originally starting life...",,https://www.rightmove.co.uk/properties/158052920#/?channel=RES_BUY,700000,158052920,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/158052920#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/155k/154001/157173440/154001_33619972_DOC_00_0000.pdf""]","Bembridge, Isle of Wight","Added on 21/01/2025
 by Spence Willard, Bembridge",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 21/01/2025,"Set within beautiful private gardens and filled with fascinating period features, this detached cottage is found on the road leading to the Bembridge RNLI Station, close to the beach.",,https://www.rightmove.co.uk/properties/157173440#/?channel=RES_BUY,700000,157173440,1445sq. ft,for-sale,,Leasehold (40 years),40 years,h,https://www.rightmove.co.uk/properties/157173440#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/273k/272798/149503643/272798_S984280_DOC_00_0001.pdf""]","Howgate Road, Bembridge, PO35 5QN","Reduced on 04/09/2024
 by Elliott Lincoln, Covering the Isle of Wight",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 04/09/2024,"A charming and picturesque property exuding character. This attractive home boasts an abundance of windows flooding the interior space with natural light, creating a warm and inviting atmosphere throughout. Featuring three upstairs bedrooms, along with a versatile ground floor study/bedroom, t...",,https://www.rightmove.co.uk/properties/149503643#/?channel=RES_BUY,700000,149503643,1708sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/149503643#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/155k/154001/156593534/154001_33589768_DOC_00_0000.pdf""]","Bembridge, Isle Of Wight","Added on 07/01/2025
 by Spence Willard, Bembridge",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 07/01/2025,"Set back from Forelands Beach, this spacious family home enjoys sea views and has large walled gardens and outbuildings.",,https://www.rightmove.co.uk/properties/156593534#/?channel=RES_BUY,675000,156593534,1539sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/156593534#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Meadow Close, Bembridge, Isle of Wight, PO35 5YJ","Added on 13/09/2024
 by Clare Maton homes, Bembridge",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 13/09/2024,"Offered for sale chain free, this beautifully presented bungalow has recently benefited from a full programme of renovation works, which include a new modern kitchen and bathrooms, new insulated floor...",,https://www.rightmove.co.uk/properties/152427077#/?channel=RES_BUY,575000,152427077,,for-sale,,Leasehold (40 years),40 years,detached bungal,https://www.rightmove.co.uk/properties/152427077#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/155k/154001/154378829/154001_33475322_DOC_00_0000.pdf""]","Bembridge, Isle of Wight","Reduced on 18/01/2025
 by Spence Willard, Bembridge",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 18/01/2025,"A comprehensively modernised, light and beautifully presented family home with sea views and convenient access to the beach at the end of the road.",,https://www.rightmove.co.uk/properties/154378829#/?channel=RES_BUY,650000,154378829,1151sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/154378829#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/155k/154001/153091511/154001_33401249_DOC_00_0000.pdf""]","Bembridge, Isle of Wight","Added on 27/09/2024
 by Spence Willard, Bembridge",0,6,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 27/09/2024,"A substantial family home offering plenty of accommodation, large private south facing gardens and driveway with off-road parking",,https://www.rightmove.co.uk/properties/153091511#/?channel=RES_BUY,650000,153091511,2056sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/153091511#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://www.purplebricks.co.uk/brochure/1807514""]","Harbour Strand, Bembridge, PO35","Added on 14/02/2025
 by Purplebricks, covering Portsmouth",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 14/02/2025,"A superb marine style residence situated within sought after Bembridge Harbour with stunning views. This spacious 4 bedroom home is arranged over 4 floors and is in a superb location within metres of Bembridge Sailing Club and the beach. Fabulous views across the harbour, the harbour mouth and o...",,https://www.rightmove.co.uk/properties/158291795#/?channel=RES_BUY,645000,158291795,,for-sale,,Leasehold (40 years),40 years,end,https://www.rightmove.co.uk/properties/158291795#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/155k/154001/157925867/154001_33658172_DOC_00_0000.pdf""]","Bembridge, Isle of Wight","Added on 07/02/2025
 by Spence Willard, Bembridge",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 07/02/2025,"A short walk from Forelands Beach, this four bedroom house offers spacious accommodation, enclosed gardens, off road parking and a detached garage.",,https://www.rightmove.co.uk/properties/157925867#/?channel=RES_BUY,625000,157925867,1528sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/157925867#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/155k/154001/159006068/154001_33716111_DOC_00_0000.pdf""]","Bembridge, Isle of Wight","Added on 05/03/2025
 by Spence Willard, Bembridge",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 05/03/2025,"In a central location, convenient for shops, walks on the coastal path and the beach, this modernised family home has enclosed gardens and a double garage.",,https://www.rightmove.co.uk/properties/159006068#/?channel=RES_BUY,625000,159006068,1787sq. ft,for-sale,,Leasehold (40 years),40 years,h,https://www.rightmove.co.uk/properties/159006068#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Steyne Road, Bembridge, Isle Of Wight, PO35","Added on 11/01/2025
 by Fox & home, Isle of Wight",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 11/01/2025,This well designed family home was built approximately twenty years ago by the current owner and provides spacious accommodation over two floors. The hub of the home is the large kitchen which has a centre island with breakfast bar and patio doors which link the kitchen to the garden. The location,,https://www.rightmove.co.uk/properties/156763025#/?channel=RES_BUY,599950,156763025,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/156763025#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Heathfield Road, Bembridge, Isle of Wight, PO35 5UW","Added on 26/09/2024
 by Clare Maton homes, Bembridge",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 26/09/2024,"Built and finished to a high specification throughout, this detached family sized home sits within a generous sized southerly aspect plot, on a quiet road within Bembridge village. The prop...",,https://www.rightmove.co.uk/properties/153050501#/?channel=RES_BUY,595000,153050501,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/153050501#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Woodland Grove, Bembridge, Isle of Wight","Added on 16/09/2024
 by Fine & Country, Isle of Wight",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 16/09/2024,"This charming detached bungalow, with an integral garage and driveway is nestled within a well-appointed village. Its private garden, beautifully landscaped with various sitting areas, offers serenity. Ideal for those seeking tranquillity yet close to amenities. A perfect blend of convenience and...",,https://www.rightmove.co.uk/properties/152501354#/?channel=RES_BUY,595000,152501354,,for-sale,,Leasehold (40 years),40 years,detached bungal,https://www.rightmove.co.uk/properties/152501354#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Beachfield Road, Bembridge, Isle of Wight, PO35 5TN","Added on 14/02/2025
 by Clare Maton homes, Bembridge",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 14/02/2025,"Offered for sale chain free, this detached family sized home is located in a sought after area in the village, with access to the beach just a short stroll away. The spacious accommodation ...",,https://www.rightmove.co.uk/properties/158276816#/?channel=RES_BUY,565000,158276816,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/158276816#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Woodland Grove, Bembridge, Isle of Wight, PO35","Added on 27/02/2025
 by Watson Bull & Porter, Ryde",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 27/02/2025,"Offered to the market as chain free is this very well presented detached home located in a quiet street very close to Bembridge village. The house has been thoughtfully modernised over the years, including a new boiler in 2023, to provide tastefully decorated and well-arranged accommodation which...",,https://www.rightmove.co.uk/properties/158758844#/?channel=RES_BUY,565000,158758844,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/158758844#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Meadow Drive, Bembridge","Added on 16/12/2024
 by Hose Rhodes Dickson, Ryde",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 16/12/2024,"This FIVE bedroom 3-storey semi-detached property is situated yards from the popular and sought-after village of Bembridge close to all local village amenities. In need of substantial modernisation and renovation, and full refurbishment throughout, the property would make an ideal family home,...",,https://www.rightmove.co.uk/properties/155969375#/?channel=RES_BUY,565000,155969375,,for-sale,,Leasehold (40 years),40 years,semi-detached h,https://www.rightmove.co.uk/properties/155969375#/?channel=RES_BUY,
